employee_id,name,department,role_type,manager_id,salary,joining_date,region,performance_score
62,Ryan Fernandez,Dept_14,Manager,,142565,2019-01-31,US,3.33
63,Charles Hammond,Dept_1,Manager,,141173,2024-02-08,India,4.85
64,Meghan Boone,Dept_30,Manager,,127388,2020-07-31,APAC,4.39
65,John Bennett,Dept_47,Manager,,162845,2021-12-11,APAC,3.31
66,Geoffrey Andrews,Dept_19,Manager,,118534,2020-09-07,US,4.16
67,Lance Griffith,Dept_35,Manager,,97989,2020-02-28,India,3.11
68,Joseph Wallace,Dept_38,Manager,,152493,2019-05-20,EU,3.11
69,Paul Henderson,Dept_33,Manager,,100500,2021-08-14,EU,3.14
70,Karen Ball,Dept_5,Manager,,178501,2022-02-27,EU,3.81
71,Jessica Romero,Dept_37,Manager,,122271,2019-02-12,US,4.24
72,George Jackson,Dept_27,Manager,,176163,2023-01-17,India,4.87
73,Kristy Mccarthy,Dept_14,Manager,,177782,2020-08-21,India,3.48
74,Andrew Hernandez,Dept_26,Manager,,107154,2022-07-27,India,3.91
75,Kristin Chavez,Dept_49,Manager,,99508,2022-11-22,US,3.92
76,Francisco Brown,Dept_37,Manager,,103104,2020-04-21,US,4.08
77,Ricky Fleming,Dept_33,Manager,,124760,2024-01-09,EU,4.87
78,Christina Reid,Dept_5,Manager,,122018,2022-08-24,India,3.57
79,Jared Wade,Dept_29,Manager,,161200,2018-04-23,India,4.22
80,Karen Roman,Dept_42,Manager,,159329,2018-04-24,US,4.34
81,Anne Johnson,Dept_36,Manager,,129240,2023-01-06,US,4.88
82,Carl Roberts,Dept_9,Manager,,124664,2019-04-10,US,4.78
83,Shawn Garcia,Dept_48,Manager,,162512,2019-05-11,EU,3.54
84,Monica Thomas,Dept_39,Manager,,117607,2023-01-31,India,3.41
85,William Warren,Dept_41,Manager,,124600,2018-03-04,APAC,3.5
86,Jenna Robles,Dept_4,Manager,,102097,2021-07-17,APAC,4.66
87,Brian Henderson DDS,Dept_3,Manager,,90464,2018-05-03,India,4.54
88,Paul Ferguson,Dept_41,Manager,,124335,2020-11-28,EU,4.48
89,Michelle Browning,Dept_36,Manager,,146057,2023-09-09,US,3.22
90,Karen Ross,Dept_45,Manager,,109536,2022-05-26,US,4.67
91,Alexander Mann,Dept_38,Manager,,162420,2022-01-03,EU,3.86
92,Matthew Combs,Dept_3,Manager,,130404,2020-06-07,India,4.8
93,Jessica Hanna,Dept_3,Manager,,136898,2018-11-14,EU,4.36
94,William Reynolds,Dept_43,Manager,,103473,2023-01-06,India,4.56
95,Kara Sullivan,Dept_27,Manager,,171351,2021-07-18,EU,4.85
96,Anthony Mcdaniel,Dept_16,Manager,,111299,2020-09-22,EU,4.76
97,Linda Ross,Dept_2,Manager,,113509,2023-03-12,India,4.56
98,Jonathan Brown,Dept_27,Manager,,177806,2018-02-22,EU,3.53
99,Mark Boyd,Dept_45,Manager,,104168,2021-04-22,APAC,4.74
100,Wendy Lindsey,Dept_31,Manager,,119154,2021-04-05,EU,4.63
101,Gina Santana,Dept_30,Manager,,135830,2018-12-22,India,4.64
102,Antonio Sandoval,Dept_15,Manager,,119219,2021-12-07,US,4.32
103,Gabriel Watson,Dept_26,Manager,,133025,2020-10-25,India,4.73
104,Eric Salazar,Dept_50,Manager,,126585,2020-03-23,India,4.28
105,Wendy Johnson,Dept_26,Manager,,179065,2022-02-26,India,4.88
106,Heather Wheeler,Dept_8,Manager,,124237,2020-06-26,EU,4.16
107,Ashley Smith,Dept_17,Manager,,95014,2022-09-10,US,4.19
108,Jared Andrews,Dept_23,Manager,,131114,2019-04-18,APAC,4.21
109,Michael Bowers,Dept_33,Manager,,105157,2020-10-29,APAC,4.8
110,Brittany Weiss,Dept_13,Manager,,123386,2020-09-16,US,4.42
111,Sean Villarreal,Dept_1,Manager,,158146,2023-07-24,EU,3.73
112,Cindy Hernandez,Dept_5,Manager,,177062,2019-02-03,India,4.25
113,Janice Harris,Dept_43,Manager,,106334,2019-10-01,India,4.01
114,Melinda Jordan,Dept_43,Manager,,143528,2022-07-08,India,3.8
115,Roy Bradford,Dept_19,Manager,,162667,2022-11-09,EU,3.38
116,Brian Marshall,Dept_43,Manager,,139695,2019-07-10,EU,4.23
117,Rebecca Payne,Dept_20,Manager,,143225,2020-08-01,US,3.61
118,Katelyn Ray,Dept_14,Manager,,146346,2022-07-21,India,3.93
119,Patrick Shannon,Dept_29,Manager,,178555,2021-07-23,EU,4.02
120,Lisa Finley,Dept_48,Manager,,112241,2021-10-06,US,3.57
121,Cristina Carter,Dept_43,Manager,,172960,2022-11-09,India,3.19
122,Hannah Dawson,Dept_49,Manager,,120784,2022-08-26,India,3.45
123,Benjamin Johnson,Dept_13,Manager,,109313,2020-12-25,US,3.09
124,Sally White,Dept_31,Manager,,170120,2023-10-23,US,3.91
125,Arthur Campbell,Dept_41,Manager,,165454,2023-11-01,EU,4.44
126,Adriana Miller,Dept_25,Manager,,154799,2022-03-31,APAC,3.49
127,Brooke Marquez,Dept_42,Manager,,90726,2019-03-22,US,4.56
128,James Jackson,Dept_15,Manager,,113053,2023-04-29,APAC,3.1
129,Luis Smith,Dept_16,Manager,,105906,2023-08-23,APAC,3.27
130,Jamie Blackburn,Dept_30,Manager,,177500,2023-10-21,India,4.9
131,Amy Padilla,Dept_29,Manager,,170301,2023-05-29,APAC,4.66
132,Benjamin Murray,Dept_36,Manager,,148446,2022-10-27,EU,4.49
133,Sarah Haynes,Dept_31,Manager,,148991,2023-10-21,India,4.5
134,Ashley Cruz,Dept_41,Manager,,126347,2021-09-14,APAC,4.25
135,Michael Shaw,Dept_18,Manager,,147654,2021-03-18,US,4.43
136,Timothy Reid,Dept_16,Manager,,125614,2020-05-18,India,3.64
137,Sandra Ramirez,Dept_35,Manager,,100561,2021-01-01,EU,3.3
138,Dustin Day,Dept_25,Manager,,110028,2022-09-23,EU,3.13
139,Lisa Conley,Dept_27,Manager,,133369,2022-02-04,APAC,3.83
140,Rebecca Smith,Dept_14,Manager,,145069,2019-02-11,APAC,4.81
141,Gina Walton,Dept_38,Manager,,92560,2021-05-20,APAC,3.95
142,Mitchell Bush,Dept_23,Manager,,129139,2023-09-17,APAC,4.71
143,David Colon,Dept_27,Manager,,160545,2022-02-22,EU,3.98
144,Joshua King,Dept_18,Manager,,147125,2021-05-06,APAC,3.06
145,Jessica Garcia,Dept_22,Manager,,177670,2019-06-19,APAC,4.45
146,Amanda Nguyen,Dept_30,Manager,,106728,2019-07-16,US,4.81
147,Craig Cooper,Dept_38,Manager,,163975,2020-08-11,US,3.17
148,Nancy Grant,Dept_28,Manager,,107786,2022-05-07,APAC,3.36
149,Gabriel Smith,Dept_17,Manager,,139689,2018-06-23,India,3.42
150,Richard Lee,Dept_21,Manager,,134236,2021-05-11,APAC,3.56
151,Adrian Hughes,Dept_27,Manager,,123065,2020-12-12,US,3.94
152,Lisa Flores,Dept_48,Manager,,160702,2020-09-04,US,5.0
153,Timothy Lawson,Dept_23,Manager,,119389,2021-08-18,US,4.56
154,Hayley Valencia,Dept_42,Manager,,95276,2019-12-12,US,4.9
155,Steven Grant,Dept_13,Manager,,92671,2022-10-31,EU,3.48
156,Alexander King,Dept_31,Manager,,177747,2020-01-28,US,4.13
157,Tim Nelson,Dept_14,Manager,,150952,2019-08-19,India,4.53
158,Kimberly Parker,Dept_11,Manager,,169415,2022-12-14,US,4.56
159,Bonnie Martinez,Dept_11,Manager,,130768,2019-02-10,US,4.16
160,Mary Andrade,Dept_20,Manager,,165470,2022-04-20,APAC,3.79
161,Gabriella Berry,Dept_46,Manager,,115995,2020-03-06,US,4.18
162,Timothy Pierce,Dept_41,Manager,,121830,2019-11-15,US,4.39
163,Danielle Ponce,Dept_20,Manager,,179687,2023-08-22,US,4.59
164,Sarah Perkins,Dept_37,Manager,,95383,2020-11-24,India,4.07
165,Tammie Soto,Dept_43,Manager,,138571,2022-06-08,US,4.01
166,Kelly Perez,Dept_22,Manager,,91658,2022-05-10,APAC,4.64
167,Tanya Brooks,Dept_7,Manager,,146822,2018-04-19,India,4.27
168,Kimberly Maldonado,Dept_30,Manager,,110052,2021-09-21,APAC,3.35
169,Brendan Collins,Dept_34,Manager,,175256,2021-04-26,India,4.23
170,Mitchell Alvarez,Dept_35,Manager,,153372,2020-04-05,APAC,3.87
171,Morgan Lara,Dept_47,Manager,,167656,2022-09-03,India,3.64
172,Kelsey Smith,Dept_16,Manager,,101359,2018-03-23,India,4.76
173,Anna Herrera,Dept_16,Manager,,150910,2021-09-17,APAC,3.67
174,Robert Dean,Dept_32,Manager,,132600,2021-01-05,EU,3.98
175,Carl Lewis,Dept_23,Manager,,123862,2019-05-18,India,3.56
176,Stephanie Alvarado,Dept_39,Manager,,126211,2023-06-07,US,4.03
177,Anthony Farley,Dept_13,Manager,,101221,2020-12-10,EU,4.44
178,Anthony Willis,Dept_32,Manager,,162768,2023-12-12,EU,4.38
179,Andrea Jacobs,Dept_42,Manager,,154332,2022-06-25,APAC,4.59
180,Joseph Duncan,Dept_6,Manager,,128566,2021-10-03,EU,3.81
181,Steven Mueller,Dept_16,Manager,,130135,2023-05-27,India,3.95
182,Ricardo Green,Dept_34,Manager,,135056,2018-07-24,APAC,4.99
183,William Price,Dept_36,Manager,,133357,2020-04-09,India,4.41
184,Allen Welch,Dept_18,Manager,,130189,2023-01-14,India,3.46
185,James Romero,Dept_47,Manager,,115242,2021-07-07,India,3.24
186,Christine Williams,Dept_35,Manager,,114267,2023-10-05,EU,3.43
187,Tammy Knight,Dept_31,Manager,,126241,2020-08-26,India,4.96
188,Michael Gross,Dept_13,Manager,,128829,2019-01-25,EU,3.72
189,James Harris,Dept_20,Manager,,91854,2023-05-28,EU,3.55
190,Megan Morgan,Dept_4,Manager,,162529,2021-11-14,India,4.39
191,Sarah Reilly,Dept_9,Manager,,173606,2018-08-08,APAC,3.21
192,Matthew Randolph,Dept_1,Manager,,165243,2019-11-18,India,3.94
193,Chelsea Lawson,Dept_29,Manager,,134657,2019-05-10,EU,4.93
194,Dwayne Fitzgerald,Dept_17,Manager,,152616,2023-11-10,US,4.64
195,John Lawrence,Dept_26,Manager,,154454,2023-11-23,US,4.15
196,Kathy Kennedy,Dept_44,Manager,,97026,2018-11-19,EU,3.3
197,Ian Ramirez,Dept_37,Manager,,129824,2022-07-28,US,4.99
198,Jessica Webster,Dept_8,Manager,,163147,2023-06-06,APAC,4.21
199,Thomas Williams,Dept_40,Manager,,119581,2018-11-06,APAC,3.9
200,Jorge Brown,Dept_29,Manager,,128974,2019-07-09,APAC,3.61
201,Norman Mcfarland,Dept_40,Manager,,97894,2018-05-27,US,4.9
202,David Yoder,Dept_14,Manager,,171987,2020-07-16,EU,3.53
203,Stephanie Morales,Dept_6,Manager,,110585,2020-02-27,EU,3.35
204,John Tucker,Dept_5,Manager,,110517,2018-03-04,US,3.82
205,Mr. Zachary Moreno,Dept_45,Manager,,167832,2023-10-19,APAC,3.58
206,Michele Atkinson,Dept_15,Manager,,127762,2021-03-21,India,4.41
207,Bruce Hart,Dept_30,Manager,,99329,2020-05-12,EU,4.85
208,Gary Novak,Dept_41,Manager,,167304,2021-06-02,EU,3.85
209,Alison Hess,Dept_35,Manager,,119466,2020-02-26,EU,4.82
210,Brenda Johnson,Dept_10,Manager,,99359,2019-07-30,US,3.33
211,Tamara George,Dept_20,Manager,,167993,2021-06-02,India,3.88
212,Courtney Douglas,Dept_30,Manager,,129857,2022-05-10,APAC,4.89
213,Lisa Moore,Dept_33,Manager,,160776,2022-11-22,APAC,3.88
214,Joshua Burke,Dept_39,Manager,,95224,2019-01-01,APAC,4.47
215,Darryl Carter,Dept_39,Manager,,122816,2020-09-03,US,3.18
216,David Fry,Dept_44,Manager,,165392,2019-04-19,US,5.0
217,Andre Burns,Dept_44,Manager,,125325,2020-10-02,US,4.53
218,Justin Finley,Dept_12,Manager,,151669,2018-09-30,APAC,4.83
219,Mrs. Judy Hubbard,Dept_12,Manager,,166720,2022-10-16,APAC,4.27
220,Leah Davis DDS,Dept_32,Manager,,101959,2023-08-02,APAC,3.7
221,Kelly Norton DDS,Dept_22,Manager,,132081,2018-08-19,US,4.72
222,Alexandra Horn,Dept_22,Manager,,143955,2023-02-17,APAC,3.58
223,Brandon Mann,Dept_26,Manager,,162102,2024-01-11,US,3.91
224,Kayla Grant,Dept_21,Manager,,123082,2022-01-21,India,3.23
225,Jennifer Williams,Dept_50,Manager,,142976,2019-03-25,US,4.32
226,Tommy Sanders,Dept_35,Manager,,150552,2022-12-21,APAC,3.11
227,Tracy Hill,Dept_34,Manager,,137419,2022-05-06,APAC,4.25
228,Douglas Reed,Dept_49,Manager,,96764,2019-12-11,EU,3.53
229,John Chavez,Dept_9,Manager,,127752,2023-08-14,APAC,4.76
230,Christopher Ramirez,Dept_32,Manager,,105915,2023-05-13,US,4.95
231,Sandra Sharp,Dept_39,Manager,,121365,2018-11-15,EU,3.62
232,Lynn Perez DDS,Dept_1,Manager,,162384,2019-09-24,APAC,3.19
233,Maria Ward,Dept_8,Manager,,150482,2018-05-02,US,4.3
234,Kristin Mays,Dept_10,Manager,,155323,2019-03-29,India,4.02
235,Christina Harris,Dept_18,Manager,,144459,2019-02-01,APAC,4.96
236,Denise Compton,Dept_16,Manager,,149871,2023-03-04,EU,3.77
237,Jason Anthony,Dept_39,Manager,,156616,2022-03-15,EU,4.73
238,Gregory Guerrero,Dept_18,Manager,,144387,2022-10-31,India,4.87
239,Kathleen Butler,Dept_33,Manager,,125018,2019-11-04,US,3.57
240,Julie Kelly,Dept_20,Manager,,166931,2021-03-30,APAC,4.73
241,Michael Gutierrez,Dept_29,Manager,,160592,2018-06-21,APAC,3.69
242,Corey Kennedy,Dept_36,Manager,,161228,2022-06-18,APAC,3.91
243,Richard Kemp,Dept_21,Manager,,114727,2022-07-16,EU,4.14
244,Cathy Williams,Dept_15,Manager,,143841,2023-11-27,US,3.64
245,Cheryl Holmes,Dept_31,Manager,,139968,2019-01-16,APAC,4.98
246,Christopher Williams,Dept_42,Manager,,109936,2018-10-07,APAC,4.93
247,Tracy Nelson,Dept_9,Manager,,155836,2020-10-07,India,4.74
248,Andrew York,Dept_29,Manager,,103069,2018-12-09,APAC,3.03
249,Sandra Castro,Dept_10,Manager,,143736,2019-12-03,EU,3.15
250,Catherine White,Dept_17,Manager,,134375,2019-04-08,APAC,4.3
251,Deborah Joyce,Dept_22,Manager,,178389,2020-05-11,APAC,4.91
252,Gregory Stephens,Dept_41,Manager,,153956,2021-05-12,US,4.23
253,Tony Smith,Dept_16,Manager,,172727,2022-11-30,India,4.99
254,Christopher Ryan,Dept_48,Manager,,101846,2023-05-09,APAC,4.96
255,Jasmin Carter,Dept_49,Manager,,173066,2023-05-30,US,3.89
256,Michelle Zavala,Dept_45,Manager,,129251,2019-02-20,US,3.09
257,Meredith Blair,Dept_4,Manager,,128452,2020-09-19,India,3.75
258,Julie Stewart,Dept_10,Manager,,122007,2023-12-20,APAC,4.13
259,Lisa Burgess,Dept_12,Manager,,112280,2018-05-30,EU,3.16
260,Stephanie Wilson,Dept_25,Manager,,171226,2022-10-05,EU,4.0
261,Mrs. Autumn Hudson DDS,Dept_38,Manager,,108758,2019-05-07,EU,3.92
262,Erin Avila,Dept_17,Manager,,150236,2023-10-13,India,4.33
263,Amanda May,Dept_30,Manager,,127700,2023-02-06,EU,3.15
264,Michael Allen,Dept_23,Manager,,167014,2018-09-13,India,4.28
265,Madeline Garner,Dept_28,Manager,,122780,2019-09-27,APAC,4.69
266,Sergio Cruz,Dept_13,Manager,,140422,2021-02-09,APAC,3.21
267,John Munoz,Dept_25,Manager,,164963,2019-02-28,India,4.15
268,Angela Moore,Dept_45,Manager,,128696,2022-11-25,US,4.96
269,Christine Schultz,Dept_43,Manager,,141879,2022-06-07,India,3.02
270,Sarah Mcdowell,Dept_44,Manager,,96428,2018-10-28,APAC,4.67
271,Joseph Foley,Dept_19,Manager,,120162,2020-11-12,India,3.44
272,Hunter Bell,Dept_13,Manager,,171381,2022-07-21,India,4.36
273,Jorge Gomez,Dept_47,Manager,,176400,2021-04-10,EU,4.26
274,Mr. George Thornton,Dept_41,Manager,,174717,2023-07-28,US,3.62
275,Lauren Andrews DDS,Dept_29,Manager,,94373,2018-02-19,India,4.46
276,Mary Smith,Dept_6,Manager,,128680,2021-10-20,India,4.49
277,Chelsea Bridges,Dept_12,Manager,,116318,2021-08-07,EU,4.57
278,Kristopher Perkins,Dept_24,Manager,,159579,2022-09-07,India,4.66
279,Paul Ross,Dept_17,Manager,,153156,2020-02-28,India,4.49
280,John Schwartz,Dept_22,Manager,,105095,2022-11-13,APAC,4.93
281,Jordan Hernandez,Dept_10,Manager,,119571,2024-01-07,APAC,4.93
282,Martin Tapia,Dept_36,Manager,,137942,2023-09-14,US,4.58
283,Jenny Mahoney,Dept_1,Manager,,124663,2023-06-13,US,3.91
284,Brenda Gomez,Dept_44,Manager,,178125,2019-08-28,India,4.17
285,Laura Smith,Dept_41,Manager,,138689,2020-10-31,US,4.35
286,Kevin Sweeney,Dept_31,Manager,,93280,2022-11-11,India,4.83
287,Joshua Stevens,Dept_15,Manager,,174889,2019-09-06,US,4.27
288,Emily Simmons,Dept_30,Manager,,129608,2019-04-15,APAC,3.23
289,Anthony Scott,Dept_3,Manager,,94877,2022-03-05,India,4.99
290,Stephanie Gonzalez,Dept_8,Manager,,102739,2021-08-22,EU,4.77
291,Valerie Turner,Dept_9,Manager,,140940,2021-09-23,APAC,3.74
292,Eric Allen,Dept_48,Manager,,160804,2019-05-12,APAC,4.17
293,Jacob Smith,Dept_47,Manager,,110253,2022-11-27,APAC,4.31
294,Elizabeth Davis,Dept_32,Manager,,170694,2019-12-07,APAC,4.88
295,Victor Middleton,Dept_18,Manager,,94288,2018-12-29,India,3.43
296,Angela Williams,Dept_29,Manager,,120947,2021-12-11,India,3.2
297,Thomas Taylor,Dept_44,Manager,,138147,2022-03-27,India,3.12
298,Jenna Daniels,Dept_18,Manager,,114878,2021-12-20,US,4.9
299,Tina Smith,Dept_30,Manager,,102015,2023-08-15,EU,4.28
300,Ann Wade,Dept_39,Manager,,92799,2020-08-20,US,4.57
301,Michael Anderson,Dept_16,Manager,,106505,2023-09-01,EU,3.14
302,Kristina Munoz,Dept_49,Manager,,162641,2019-07-01,EU,4.17
303,Janet Moss,Dept_15,Manager,,133064,2018-07-27,EU,4.58
304,Michael Cline,Dept_39,Manager,,90371,2022-11-18,India,4.72
305,Mikayla Nelson,Dept_10,Manager,,107038,2020-05-04,India,4.6
306,Olivia Neal MD,Dept_8,Manager,,176646,2020-06-14,US,3.26
307,Karen Armstrong,Dept_23,Manager,,121186,2022-10-18,India,3.03
308,Craig Jones,Dept_17,Manager,,96868,2022-06-07,EU,4.48
309,Ms. Stephanie Gonzales,Dept_34,Manager,,104896,2021-01-11,US,3.95
310,Mitchell Crawford,Dept_50,Manager,,137453,2018-11-14,US,3.9
311,John Flores,Dept_15,Manager,,170623,2020-08-11,US,4.45
312,Meghan Gordon,Dept_43,Manager,,158347,2023-07-08,India,3.92
313,Michelle Mendoza,Dept_2,Manager,,97972,2018-12-04,APAC,4.69
314,Pamela Edwards,Dept_28,Manager,,179928,2022-06-08,US,3.98
315,Bonnie Mcguire,Dept_29,Manager,,99632,2022-09-11,US,3.64
316,Anthony Roberts,Dept_10,Manager,,98609,2020-12-16,EU,3.55
317,Karen Dorsey,Dept_41,Manager,,166724,2018-04-11,India,3.76
318,Craig Davis,Dept_39,Manager,,159541,2024-02-06,India,3.91
319,Carrie Smith,Dept_39,Manager,,146387,2018-06-18,US,4.59
320,Maria Blanchard,Dept_8,Manager,,175814,2021-08-17,EU,3.86
321,Dr. Tracie Day,Dept_15,Manager,,144239,2020-01-08,India,4.65
322,Marilyn Perez,Dept_26,Manager,,144524,2020-05-13,US,3.63
323,Bryan Howard,Dept_21,Manager,,177177,2019-10-30,India,3.75
324,Taylor Hansen,Dept_10,Manager,,152163,2019-08-24,US,3.18
325,Karen Johnson,Dept_6,Manager,,102219,2021-07-26,APAC,3.19
326,Jaime Hernandez,Dept_48,Manager,,138843,2018-04-19,EU,4.11
327,Amanda Cox,Dept_38,Manager,,163608,2021-09-07,India,4.34
328,Christy Baker,Dept_27,Manager,,136346,2023-09-29,APAC,4.74
329,Joseph Rodriguez,Dept_47,Manager,,96743,2021-01-08,India,4.2
330,Christopher Harrison,Dept_23,Manager,,103579,2023-01-24,EU,3.31
331,Jessica Kennedy,Dept_31,Manager,,119392,2019-01-29,US,3.7
332,Laura Santana,Dept_36,Manager,,138176,2018-08-16,US,4.53
333,Michele Rodriguez,Dept_37,Manager,,119643,2020-01-01,APAC,4.69
334,Travis Frazier,Dept_50,Manager,,171490,2021-03-09,US,4.22
335,Jason Lewis,Dept_43,Manager,,125054,2021-04-19,US,3.36
336,Robert Wallace,Dept_45,Manager,,130499,2022-01-16,India,3.7
337,Matthew Nielsen,Dept_12,Manager,,108776,2019-03-27,APAC,3.14
338,Alison Best,Dept_48,Manager,,172991,2020-08-03,US,3.18
339,Tara Fisher,Dept_34,Manager,,118197,2021-02-19,APAC,3.84
340,Francisco Frazier,Dept_22,Manager,,110631,2022-04-02,India,3.62
341,Lauren Campos,Dept_21,Manager,,164395,2023-02-16,US,4.77
342,Kerry Larsen,Dept_10,Manager,,110632,2021-10-01,US,4.35
343,Kathleen Acosta,Dept_18,Manager,,148079,2023-02-10,APAC,3.97
344,Jacob Dyer,Dept_29,Manager,,144287,2023-05-23,India,3.43
345,Bradley Molina,Dept_33,Manager,,104918,2018-09-01,India,3.86
346,William Davis,Dept_19,Manager,,178895,2022-12-31,APAC,4.05
347,Monica Wagner,Dept_20,Manager,,95952,2023-10-19,EU,3.79
348,Yvonne Wood,Dept_39,Manager,,97180,2020-09-03,US,3.41
349,Joseph Roberts,Dept_14,Manager,,107987,2022-03-04,India,3.58
350,Arthur Skinner,Dept_8,Manager,,91013,2018-09-03,APAC,4.49
351,Mark Williams,Dept_12,Manager,,106932,2020-05-25,APAC,4.07
352,Bailey Stewart,Dept_15,Manager,,155570,2020-11-13,India,3.14
353,Melanie Ford,Dept_48,Manager,,95544,2022-05-08,APAC,3.04
354,Christopher Harris,Dept_5,Manager,,131033,2020-03-10,APAC,4.15
355,Lindsay Ellis,Dept_46,Manager,,173904,2019-11-17,APAC,3.58
356,Carrie Gray,Dept_26,Manager,,92733,2018-04-09,India,3.34
357,Lauren Rios,Dept_40,Manager,,150305,2022-01-14,India,3.18
358,Scott Suarez,Dept_7,Manager,,121891,2018-10-14,APAC,4.18
359,Adam Ochoa,Dept_34,Manager,,100308,2021-11-29,APAC,4.74
360,Luis Morales,Dept_48,Manager,,134500,2020-05-07,EU,3.67
361,Joseph Strong,Dept_11,Manager,,100011,2022-07-20,US,4.06
362,Joy Wu,Dept_13,Manager,,135793,2020-04-01,India,4.45
363,Ashley Conley,Dept_42,Manager,,109358,2021-10-22,EU,3.21
364,Anna Gallagher,Dept_17,Manager,,115856,2022-12-09,EU,4.2
