employee_id,name,department,role_type,manager_id,salary,joining_date,region,performance_score,tenure_years,is_manager
47,Derek Dodson,Dept_5,Manager,,134313,2023-02-06,US,4.18,3.02,1
48,Jillian Parker,Dept_15,Manager,,167128,2022-02-02,EU,3.01,4.03,1
49,Anthony Smith,Dept_46,Manager,,172719,2018-10-05,US,3.46,7.36,1
50,Jessica Anderson,Dept_3,Manager,,133309,2023-05-25,US,4.03,2.72,1
51,Robert Sanchez,Dept_18,Manager,,177684,2024-02-06,APAC,3.43,2.02,1
52,Cameron Middleton,Dept_9,Manager,,164847,2021-09-09,APAC,3.49,4.43,1
53,Cheryl Ramsey,Dept_31,Manager,,143354,2022-02-22,EU,3.19,3.98,1
54,Russell Norris,Dept_43,Manager,,146498,2022-05-05,India,3.85,3.78,1
55,Anthony Morton,Dept_30,Manager,,97100,2021-05-14,US,3.12,4.75,1
56,Lisa Rodriguez,Dept_47,Manager,,134473,2020-06-12,US,3.5,5.67,1
57,Phillip Mcdaniel,Dept_13,Manager,,160292,2019-02-05,APAC,3.28,7.02,1
58,Renee Harrison,Dept_12,Manager,,126509,2021-04-13,APAC,3.5,4.84,1
59,Carol Kennedy,Dept_5,Manager,,148082,2021-05-14,US,3.1,4.75,1
60,Stephanie Schroeder,Dept_35,Manager,,91934,2023-04-21,US,4.85,2.82,1
61,Deanna Jones,Dept_16,Manager,,111798,2020-06-06,APAC,3.97,5.69,1
62,Ryan Fernandez,Dept_14,Manager,,142565,2019-01-31,US,3.33,7.04,1
63,Charles Hammond,Dept_1,Manager,,141173,2024-02-08,India,4.85,2.01,1
64,Meghan Boone,Dept_30,Manager,,127388,2020-07-31,APAC,4.39,5.54,1
65,John Bennett,Dept_47,Manager,,162845,2021-12-11,APAC,3.31,4.18,1
66,Geoffrey Andrews,Dept_19,Manager,,118534,2020-09-07,US,4.16,5.44,1
67,Lance Griffith,Dept_35,Manager,,97989,2020-02-28,India,3.11,5.96,1
68,Joseph Wallace,Dept_38,Manager,,152493,2019-05-20,EU,3.11,6.74,1
69,Paul Henderson,Dept_33,Manager,,100500,2021-08-14,EU,3.14,4.5,1
70,Karen Ball,Dept_5,Manager,,178501,2022-02-27,EU,3.81,3.96,1
71,Jessica Romero,Dept_37,Manager,,122271,2019-02-12,US,4.24,7.01,1
72,George Jackson,Dept_27,Manager,,176163,2023-01-17,India,4.87,3.07,1
73,Kristy Mccarthy,Dept_14,Manager,,177782,2020-08-21,India,3.48,5.48,1
74,Andrew Hernandez,Dept_26,Manager,,107154,2022-07-27,India,3.91,3.55,1
75,Kristin Chavez,Dept_49,Manager,,99508,2022-11-22,US,3.92,3.23,1
76,Francisco Brown,Dept_37,Manager,,103104,2020-04-21,US,4.08,5.82,1
77,Ricky Fleming,Dept_33,Manager,,124760,2024-01-09,EU,4.87,2.1,1
78,Christina Reid,Dept_5,Manager,,122018,2022-08-24,India,3.57,3.47,1
79,Jared Wade,Dept_29,Manager,,161200,2018-04-23,India,4.22,7.81,1
80,Karen Roman,Dept_42,Manager,,159329,2018-04-24,US,4.34,7.81,1
81,Anne Johnson,Dept_36,Manager,,129240,2023-01-06,US,4.88,3.1,1
82,Carl Roberts,Dept_9,Manager,,124664,2019-04-10,US,4.78,6.85,1
83,Shawn Garcia,Dept_48,Manager,,162512,2019-05-11,EU,3.54,6.76,1
84,Monica Thomas,Dept_39,Manager,,117607,2023-01-31,India,3.41,3.04,1
85,William Warren,Dept_41,Manager,,124600,2018-03-04,APAC,3.5,7.95,1
86,Jenna Robles,Dept_4,Manager,,102097,2021-07-17,APAC,4.66,4.58,1
87,Brian Henderson DDS,Dept_3,Manager,,90464,2018-05-03,India,4.54,7.79,1
88,Paul Ferguson,Dept_41,Manager,,124335,2020-11-28,EU,4.48,5.21,1
89,Michelle Browning,Dept_36,Manager,,146057,2023-09-09,US,3.22,2.43,1
90,Karen Ross,Dept_45,Manager,,109536,2022-05-26,US,4.67,3.72,1
91,Alexander Mann,Dept_38,Manager,,162420,2022-01-03,EU,3.86,4.11,1
92,Matthew Combs,Dept_3,Manager,,130404,2020-06-07,India,4.8,5.69,1
93,Jessica Hanna,Dept_3,Manager,,136898,2018-11-14,EU,4.36,7.25,1
94,William Reynolds,Dept_43,Manager,,103473,2023-01-06,India,4.56,3.1,1
95,Kara Sullivan,Dept_27,Manager,,171351,2021-07-18,EU,4.85,4.58,1
96,Anthony Mcdaniel,Dept_16,Manager,,111299,2020-09-22,EU,4.76,5.39,1
97,Linda Ross,Dept_2,Manager,,113509,2023-03-12,India,4.56,2.93,1
98,Jonathan Brown,Dept_27,Manager,,177806,2018-02-22,EU,3.53,7.98,1
99,Mark Boyd,Dept_45,Manager,,104168,2021-04-22,APAC,4.74,4.81,1
100,Wendy Lindsey,Dept_31,Manager,,119154,2021-04-05,EU,4.63,4.86,1
101,Gina Santana,Dept_30,Manager,,135830,2018-12-22,India,4.64,7.15,1
102,Antonio Sandoval,Dept_15,Manager,,119219,2021-12-07,US,4.32,4.19,1
103,Gabriel Watson,Dept_26,Manager,,133025,2020-10-25,India,4.73,5.3,1
104,Eric Salazar,Dept_50,Manager,,126585,2020-03-23,India,4.28,5.9,1
105,Wendy Johnson,Dept_26,Manager,,179065,2022-02-26,India,4.88,3.96,1
106,Heather Wheeler,Dept_8,Manager,,124237,2020-06-26,EU,4.16,5.64,1
107,Ashley Smith,Dept_17,Manager,,95014,2022-09-10,US,4.19,3.43,1
108,Jared Andrews,Dept_23,Manager,,131114,2019-04-18,APAC,4.21,6.83,1
109,Michael Bowers,Dept_33,Manager,,105157,2020-10-29,APAC,4.8,5.29,1
110,Brittany Weiss,Dept_13,Manager,,123386,2020-09-16,US,4.42,5.41,1
111,Sean Villarreal,Dept_1,Manager,,158146,2023-07-24,EU,3.73,2.56,1
112,Cindy Hernandez,Dept_5,Manager,,177062,2019-02-03,India,4.25,7.03,1
113,Janice Harris,Dept_43,Manager,,106334,2019-10-01,India,4.01,6.37,1
114,Melinda Jordan,Dept_43,Manager,,143528,2022-07-08,India,3.8,3.6,1
115,Roy Bradford,Dept_19,Manager,,162667,2022-11-09,EU,3.38,3.26,1
116,Brian Marshall,Dept_43,Manager,,139695,2019-07-10,EU,4.23,6.6,1
117,Rebecca Payne,Dept_20,Manager,,143225,2020-08-01,US,3.61,5.54,1
118,Katelyn Ray,Dept_14,Manager,,146346,2022-07-21,India,3.93,3.57,1
119,Patrick Shannon,Dept_29,Manager,,178555,2021-07-23,EU,4.02,4.56,1
120,Lisa Finley,Dept_48,Manager,,112241,2021-10-06,US,3.57,4.36,1
121,Cristina Carter,Dept_43,Manager,,172960,2022-11-09,India,3.19,3.26,1
122,Hannah Dawson,Dept_49,Manager,,120784,2022-08-26,India,3.45,3.47,1
123,Benjamin Johnson,Dept_13,Manager,,109313,2020-12-25,US,3.09,5.14,1
124,Sally White,Dept_31,Manager,,170120,2023-10-23,US,3.91,2.31,1
125,Arthur Campbell,Dept_41,Manager,,165454,2023-11-01,EU,4.44,2.28,1
126,Adriana Miller,Dept_25,Manager,,154799,2022-03-31,APAC,3.49,3.87,1
127,Brooke Marquez,Dept_42,Manager,,90726,2019-03-22,US,4.56,6.9,1
128,James Jackson,Dept_15,Manager,,113053,2023-04-29,APAC,3.1,2.79,1
129,Luis Smith,Dept_16,Manager,,105906,2023-08-23,APAC,3.27,2.48,1
130,Jamie Blackburn,Dept_30,Manager,,177500,2023-10-21,India,4.9,2.32,1
131,Amy Padilla,Dept_29,Manager,,170301,2023-05-29,APAC,4.66,2.71,1
132,Benjamin Murray,Dept_36,Manager,,148446,2022-10-27,EU,4.49,3.3,1
133,Sarah Haynes,Dept_31,Manager,,148991,2023-10-21,India,4.5,2.32,1
134,Ashley Cruz,Dept_41,Manager,,126347,2021-09-14,APAC,4.25,4.42,1
135,Michael Shaw,Dept_18,Manager,,147654,2021-03-18,US,4.43,4.91,1
136,Timothy Reid,Dept_16,Manager,,125614,2020-05-18,India,3.64,5.74,1
137,Sandra Ramirez,Dept_35,Manager,,100561,2021-01-01,EU,3.3,5.12,1
138,Dustin Day,Dept_25,Manager,,110028,2022-09-23,EU,3.13,3.39,1
139,Lisa Conley,Dept_27,Manager,,133369,2022-02-04,APAC,3.83,4.02,1
140,Rebecca Smith,Dept_14,Manager,,145069,2019-02-11,APAC,4.81,7.01,1
141,Gina Walton,Dept_38,Manager,,92560,2021-05-20,APAC,3.95,4.74,1
142,Mitchell Bush,Dept_23,Manager,,129139,2023-09-17,APAC,4.71,2.41,1
143,David Colon,Dept_27,Manager,,160545,2022-02-22,EU,3.98,3.98,1
144,Joshua King,Dept_18,Manager,,147125,2021-05-06,APAC,3.06,4.78,1
145,Jessica Garcia,Dept_22,Manager,,177670,2019-06-19,APAC,4.45,6.66,1
146,Amanda Nguyen,Dept_30,Manager,,106728,2019-07-16,US,4.81,6.58,1
147,Craig Cooper,Dept_38,Manager,,163975,2020-08-11,US,3.17,5.51,1
148,Nancy Grant,Dept_28,Manager,,107786,2022-05-07,APAC,3.36,3.77,1
149,Gabriel Smith,Dept_17,Manager,,139689,2018-06-23,India,3.42,7.65,1
150,Richard Lee,Dept_21,Manager,,134236,2021-05-11,APAC,3.56,4.76,1
151,Adrian Hughes,Dept_27,Manager,,123065,2020-12-12,US,3.94,5.17,1
152,Lisa Flores,Dept_48,Manager,,160702,2020-09-04,US,5.0,5.44,1
153,Timothy Lawson,Dept_23,Manager,,119389,2021-08-18,US,4.56,4.49,1
154,Hayley Valencia,Dept_42,Manager,,95276,2019-12-12,US,4.9,6.18,1
155,Steven Grant,Dept_13,Manager,,92671,2022-10-31,EU,3.48,3.29,1
156,Alexander King,Dept_31,Manager,,177747,2020-01-28,US,4.13,6.05,1
157,Tim Nelson,Dept_14,Manager,,150952,2019-08-19,India,4.53,6.49,1
158,Kimberly Parker,Dept_11,Manager,,169415,2022-12-14,US,4.56,3.17,1
159,Bonnie Martinez,Dept_11,Manager,,130768,2019-02-10,US,4.16,7.01,1
160,Mary Andrade,Dept_20,Manager,,165470,2022-04-20,APAC,3.79,3.82,1
161,Gabriella Berry,Dept_46,Manager,,115995,2020-03-06,US,4.18,5.94,1
162,Timothy Pierce,Dept_41,Manager,,121830,2019-11-15,US,4.39,6.25,1
163,Danielle Ponce,Dept_20,Manager,,179687,2023-08-22,US,4.59,2.48,1
164,Sarah Perkins,Dept_37,Manager,,95383,2020-11-24,India,4.07,5.22,1
165,Tammie Soto,Dept_43,Manager,,138571,2022-06-08,US,4.01,3.68,1
166,Kelly Perez,Dept_22,Manager,,91658,2022-05-10,APAC,4.64,3.76,1
167,Tanya Brooks,Dept_7,Manager,,146822,2018-04-19,India,4.27,7.82,1
168,Kimberly Maldonado,Dept_30,Manager,,110052,2021-09-21,APAC,3.35,4.4,1
169,Brendan Collins,Dept_34,Manager,,175256,2021-04-26,India,4.23,4.8,1
170,Mitchell Alvarez,Dept_35,Manager,,153372,2020-04-05,APAC,3.87,5.86,1
171,Morgan Lara,Dept_47,Manager,,167656,2022-09-03,India,3.64,3.45,1
172,Kelsey Smith,Dept_16,Manager,,101359,2018-03-23,India,4.76,7.9,1
173,Anna Herrera,Dept_16,Manager,,150910,2021-09-17,APAC,3.67,4.41,1
174,Robert Dean,Dept_32,Manager,,132600,2021-01-05,EU,3.98,5.11,1
175,Carl Lewis,Dept_23,Manager,,123862,2019-05-18,India,3.56,6.75,1
176,Stephanie Alvarado,Dept_39,Manager,,126211,2023-06-07,US,4.03,2.69,1
177,Anthony Farley,Dept_13,Manager,,101221,2020-12-10,EU,4.44,5.18,1
178,Anthony Willis,Dept_32,Manager,,162768,2023-12-12,EU,4.38,2.17,1
179,Andrea Jacobs,Dept_42,Manager,,154332,2022-06-25,APAC,4.59,3.64,1
180,Joseph Duncan,Dept_6,Manager,,128566,2021-10-03,EU,3.81,4.36,1
181,Steven Mueller,Dept_16,Manager,,130135,2023-05-27,India,3.95,2.72,1
182,Ricardo Green,Dept_34,Manager,,135056,2018-07-24,APAC,4.99,7.56,1
183,William Price,Dept_36,Manager,,133357,2020-04-09,India,4.41,5.85,1
184,Allen Welch,Dept_18,Manager,,130189,2023-01-14,India,3.46,3.08,1
185,James Romero,Dept_47,Manager,,115242,2021-07-07,India,3.24,4.61,1
186,Christine Williams,Dept_35,Manager,,114267,2023-10-05,EU,3.43,2.36,1
187,Tammy Knight,Dept_31,Manager,,126241,2020-08-26,India,4.96,5.47,1
188,Michael Gross,Dept_13,Manager,,128829,2019-01-25,EU,3.72,7.05,1
189,James Harris,Dept_20,Manager,,91854,2023-05-28,EU,3.55,2.72,1
190,Megan Morgan,Dept_4,Manager,,162529,2021-11-14,India,4.39,4.25,1
191,Sarah Reilly,Dept_9,Manager,,173606,2018-08-08,APAC,3.21,7.52,1
192,Matthew Randolph,Dept_1,Manager,,165243,2019-11-18,India,3.94,6.24,1
193,Chelsea Lawson,Dept_29,Manager,,134657,2019-05-10,EU,4.93,6.77,1
194,Dwayne Fitzgerald,Dept_17,Manager,,152616,2023-11-10,US,4.64,2.26,1
195,John Lawrence,Dept_26,Manager,,154454,2023-11-23,US,4.15,2.22,1
196,Kathy Kennedy,Dept_44,Manager,,97026,2018-11-19,EU,3.3,7.24,1
197,Ian Ramirez,Dept_37,Manager,,129824,2022-07-28,US,4.99,3.55,1
198,Jessica Webster,Dept_8,Manager,,163147,2023-06-06,APAC,4.21,2.69,1
199,Thomas Williams,Dept_40,Manager,,119581,2018-11-06,APAC,3.9,7.27,1
200,Jorge Brown,Dept_29,Manager,,128974,2019-07-09,APAC,3.61,6.6,1
201,Norman Mcfarland,Dept_40,Manager,,97894,2018-05-27,US,4.9,7.72,1
202,David Yoder,Dept_14,Manager,,171987,2020-07-16,EU,3.53,5.58,1
203,Stephanie Morales,Dept_6,Manager,,110585,2020-02-27,EU,3.35,5.96,1
204,John Tucker,Dept_5,Manager,,110517,2018-03-04,US,3.82,7.95,1
205,Mr. Zachary Moreno,Dept_45,Manager,,167832,2023-10-19,APAC,3.58,2.32,1
206,Michele Atkinson,Dept_15,Manager,,127762,2021-03-21,India,4.41,4.9,1
207,Bruce Hart,Dept_30,Manager,,99329,2020-05-12,EU,4.85,5.76,1
208,Gary Novak,Dept_41,Manager,,167304,2021-06-02,EU,3.85,4.7,1
209,Alison Hess,Dept_35,Manager,,119466,2020-02-26,EU,4.82,5.97,1
210,Brenda Johnson,Dept_10,Manager,,99359,2019-07-30,US,3.33,6.55,1
211,Tamara George,Dept_20,Manager,,167993,2021-06-02,India,3.88,4.7,1
212,Courtney Douglas,Dept_30,Manager,,129857,2022-05-10,APAC,4.89,3.76,1
213,Lisa Moore,Dept_33,Manager,,160776,2022-11-22,APAC,3.88,3.23,1
214,Joshua Burke,Dept_39,Manager,,95224,2019-01-01,APAC,4.47,7.12,1
215,Darryl Carter,Dept_39,Manager,,122816,2020-09-03,US,3.18,5.45,1
216,David Fry,Dept_44,Manager,,165392,2019-04-19,US,5.0,6.82,1
217,Andre Burns,Dept_44,Manager,,125325,2020-10-02,US,4.53,5.37,1
218,Justin Finley,Dept_12,Manager,,151669,2018-09-30,APAC,4.83,7.38,1
219,Mrs. Judy Hubbard,Dept_12,Manager,,166720,2022-10-16,APAC,4.27,3.33,1
220,Leah Davis DDS,Dept_32,Manager,,101959,2023-08-02,APAC,3.7,2.53,1
221,Kelly Norton DDS,Dept_22,Manager,,132081,2018-08-19,US,4.72,7.49,1
222,Alexandra Horn,Dept_22,Manager,,143955,2023-02-17,APAC,3.58,2.99,1
223,Brandon Mann,Dept_26,Manager,,162102,2024-01-11,US,3.91,2.09,1
224,Kayla Grant,Dept_21,Manager,,123082,2022-01-21,India,3.23,4.06,1
225,Jennifer Williams,Dept_50,Manager,,142976,2019-03-25,US,4.32,6.89,1
226,Tommy Sanders,Dept_35,Manager,,150552,2022-12-21,APAC,3.11,3.15,1
227,Tracy Hill,Dept_34,Manager,,137419,2022-05-06,APAC,4.25,3.78,1
228,Douglas Reed,Dept_49,Manager,,96764,2019-12-11,EU,3.53,6.18,1
229,John Chavez,Dept_9,Manager,,127752,2023-08-14,APAC,4.76,2.5,1
230,Christopher Ramirez,Dept_32,Manager,,105915,2023-05-13,US,4.95,2.76,1
231,Sandra Sharp,Dept_39,Manager,,121365,2018-11-15,EU,3.62,7.25,1
232,Lynn Perez DDS,Dept_1,Manager,,162384,2019-09-24,APAC,3.19,6.39,1
233,Maria Ward,Dept_8,Manager,,150482,2018-05-02,US,4.3,7.79,1
234,Kristin Mays,Dept_10,Manager,,155323,2019-03-29,India,4.02,6.88,1
235,Christina Harris,Dept_18,Manager,,144459,2019-02-01,APAC,4.96,7.04,1
236,Denise Compton,Dept_16,Manager,,149871,2023-03-04,EU,3.77,2.95,1
237,Jason Anthony,Dept_39,Manager,,156616,2022-03-15,EU,4.73,3.92,1
238,Gregory Guerrero,Dept_18,Manager,,144387,2022-10-31,India,4.87,3.29,1
239,Kathleen Butler,Dept_33,Manager,,125018,2019-11-04,US,3.57,6.28,1
240,Julie Kelly,Dept_20,Manager,,166931,2021-03-30,APAC,4.73,4.88,1
241,Michael Gutierrez,Dept_29,Manager,,160592,2018-06-21,APAC,3.69,7.65,1
242,Corey Kennedy,Dept_36,Manager,,161228,2022-06-18,APAC,3.91,3.66,1
243,Richard Kemp,Dept_21,Manager,,114727,2022-07-16,EU,4.14,3.58,1
244,Cathy Williams,Dept_15,Manager,,143841,2023-11-27,US,3.64,2.21,1
245,Cheryl Holmes,Dept_31,Manager,,139968,2019-01-16,APAC,4.98,7.08,1
246,Christopher Williams,Dept_42,Manager,,109936,2018-10-07,APAC,4.93,7.36,1
247,Tracy Nelson,Dept_9,Manager,,155836,2020-10-07,India,4.74,5.35,1
248,Andrew York,Dept_29,Manager,,103069,2018-12-09,APAC,3.03,7.18,1
249,Sandra Castro,Dept_10,Manager,,143736,2019-12-03,EU,3.15,6.2,1
250,Catherine White,Dept_17,Manager,,134375,2019-04-08,APAC,4.3,6.85,1
251,Deborah Joyce,Dept_22,Manager,,178389,2020-05-11,APAC,4.91,5.76,1
252,Gregory Stephens,Dept_41,Manager,,153956,2021-05-12,US,4.23,4.76,1
253,Tony Smith,Dept_16,Manager,,172727,2022-11-30,India,4.99,3.21,1
254,Christopher Ryan,Dept_48,Manager,,101846,2023-05-09,APAC,4.96,2.77,1
255,Jasmin Carter,Dept_49,Manager,,173066,2023-05-30,US,3.89,2.71,1
256,Michelle Zavala,Dept_45,Manager,,129251,2019-02-20,US,3.09,6.98,1
257,Meredith Blair,Dept_4,Manager,,128452,2020-09-19,India,3.75,5.4,1
258,Julie Stewart,Dept_10,Manager,,122007,2023-12-20,APAC,4.13,2.15,1
259,Lisa Burgess,Dept_12,Manager,,112280,2018-05-30,EU,3.16,7.71,1
260,Stephanie Wilson,Dept_25,Manager,,171226,2022-10-05,EU,4.0,3.36,1
261,Mrs. Autumn Hudson DDS,Dept_38,Manager,,108758,2019-05-07,EU,3.92,6.78,1
262,Erin Avila,Dept_17,Manager,,150236,2023-10-13,India,4.33,2.34,1
263,Amanda May,Dept_30,Manager,,127700,2023-02-06,EU,3.15,3.02,1
264,Michael Allen,Dept_23,Manager,,167014,2018-09-13,India,4.28,7.42,1
265,Madeline Garner,Dept_28,Manager,,122780,2019-09-27,APAC,4.69,6.38,1
266,Sergio Cruz,Dept_13,Manager,,140422,2021-02-09,APAC,3.21,5.01,1
267,John Munoz,Dept_25,Manager,,164963,2019-02-28,India,4.15,6.96,1
268,Angela Moore,Dept_45,Manager,,128696,2022-11-25,US,4.96,3.22,1
269,Christine Schultz,Dept_43,Manager,,141879,2022-06-07,India,3.02,3.69,1
270,Sarah Mcdowell,Dept_44,Manager,,96428,2018-10-28,APAC,4.67,7.3,1
271,Joseph Foley,Dept_19,Manager,,120162,2020-11-12,India,3.44,5.25,1
272,Hunter Bell,Dept_13,Manager,,171381,2022-07-21,India,4.36,3.57,1
273,Jorge Gomez,Dept_47,Manager,,176400,2021-04-10,EU,4.26,4.85,1
274,Mr. George Thornton,Dept_41,Manager,,174717,2023-07-28,US,3.62,2.55,1
275,Lauren Andrews DDS,Dept_29,Manager,,94373,2018-02-19,India,4.46,7.99,1
276,Mary Smith,Dept_6,Manager,,128680,2021-10-20,India,4.49,4.32,1
277,Chelsea Bridges,Dept_12,Manager,,116318,2021-08-07,EU,4.57,4.52,1
278,Kristopher Perkins,Dept_24,Manager,,159579,2022-09-07,India,4.66,3.44,1
279,Paul Ross,Dept_17,Manager,,153156,2020-02-28,India,4.49,5.96,1
280,John Schwartz,Dept_22,Manager,,105095,2022-11-13,APAC,4.93,3.25,1
281,Jordan Hernandez,Dept_10,Manager,,119571,2024-01-07,APAC,4.93,2.1,1
282,Martin Tapia,Dept_36,Manager,,137942,2023-09-14,US,4.58,2.42,1
283,Jenny Mahoney,Dept_1,Manager,,124663,2023-06-13,US,3.91,2.67,1
284,Brenda Gomez,Dept_44,Manager,,178125,2019-08-28,India,4.17,6.47,1
285,Laura Smith,Dept_41,Manager,,138689,2020-10-31,US,4.35,5.29,1
286,Kevin Sweeney,Dept_31,Manager,,93280,2022-11-11,India,4.83,3.26,1
287,Joshua Stevens,Dept_15,Manager,,174889,2019-09-06,US,4.27,6.44,1
288,Emily Simmons,Dept_30,Manager,,129608,2019-04-15,APAC,3.23,6.84,1
289,Anthony Scott,Dept_3,Manager,,94877,2022-03-05,India,4.99,3.95,1
290,Stephanie Gonzalez,Dept_8,Manager,,102739,2021-08-22,EU,4.77,4.48,1
291,Valerie Turner,Dept_9,Manager,,140940,2021-09-23,APAC,3.74,4.39,1
292,Eric Allen,Dept_48,Manager,,160804,2019-05-12,APAC,4.17,6.76,1
293,Jacob Smith,Dept_47,Manager,,110253,2022-11-27,APAC,4.31,3.21,1
294,Elizabeth Davis,Dept_32,Manager,,170694,2019-12-07,APAC,4.88,6.19,1
295,Victor Middleton,Dept_18,Manager,,94288,2018-12-29,India,3.43,7.13,1
296,Angela Williams,Dept_29,Manager,,120947,2021-12-11,India,3.2,4.18,1
297,Thomas Taylor,Dept_44,Manager,,138147,2022-03-27,India,3.12,3.88,1
298,Jenna Daniels,Dept_18,Manager,,114878,2021-12-20,US,4.9,4.15,1
299,Tina Smith,Dept_30,Manager,,102015,2023-08-15,EU,4.28,2.5,1
300,Ann Wade,Dept_39,Manager,,92799,2020-08-20,US,4.57,5.48,1
301,Michael Anderson,Dept_16,Manager,,106505,2023-09-01,EU,3.14,2.45,1
302,Kristina Munoz,Dept_49,Manager,,162641,2019-07-01,EU,4.17,6.62,1
303,Janet Moss,Dept_15,Manager,,133064,2018-07-27,EU,4.58,7.55,1
304,Michael Cline,Dept_39,Manager,,90371,2022-11-18,India,4.72,3.24,1
305,Mikayla Nelson,Dept_10,Manager,,107038,2020-05-04,India,4.6,5.78,1
306,Olivia Neal MD,Dept_8,Manager,,176646,2020-06-14,US,3.26,5.67,1
307,Karen Armstrong,Dept_23,Manager,,121186,2022-10-18,India,3.03,3.32,1
308,Craig Jones,Dept_17,Manager,,96868,2022-06-07,EU,4.48,3.69,1
309,Ms. Stephanie Gonzales,Dept_34,Manager,,104896,2021-01-11,US,3.95,5.09,1
310,Mitchell Crawford,Dept_50,Manager,,137453,2018-11-14,US,3.9,7.25,1
311,John Flores,Dept_15,Manager,,170623,2020-08-11,US,4.45,5.51,1
312,Meghan Gordon,Dept_43,Manager,,158347,2023-07-08,India,3.92,2.6,1
313,Michelle Mendoza,Dept_2,Manager,,97972,2018-12-04,APAC,4.69,7.2,1
314,Pamela Edwards,Dept_28,Manager,,179928,2022-06-08,US,3.98,3.68,1
